key,sender,senderID,addressee,addresseeID,addresseePlace,,date,page
1,Georg Philipp Telemann,11862119X,Rat der Stadt Leipzig,2157116-8,,,1704-08-08,22
2,Georg Philipp Telemann,11862119X,Rat der Stadt Frankfurt (Main),1201422884,,,1712-02-09,23
3,Georg Philipp Telemann,11862119X,Rat der Stadt Frankfurt (Main),1201422884,,,?,24
4,Georg Philipp Telemann,11862119X,Rat der Stadt Frankfurt (Main),1201422884,,,1717-10-05,26
5,Georg Philipp Telemann,11862119X,Rat der Stadt Frankfurt (Main),1201422884,,,1721-07-21,27
6,Georg Philipp Telemann,11862119X,Rat der Stadt Hamburg,16032936-X,,,1722-02-03,28
7,Georg Philipp Telemann,11862119X,Rat der Stadt Hamburg,16032936-X,,,1722-09-03,30
8,Georg Philipp Telemann,11862119X,Rat der Stadt Hamburg,16032936-X,,,"[1725,1730]",31
9,Georg Philipp Telemann,11862119X,Johann Gottfried Walther,11882581X,,,1729-12-20,32
11,Georg Philipp Telemann,11862119X,Rat der Stadt Hamburg,16032936-X,,,1748-10-30,35
12,Georg Philipp Telemann,11862119X,Rat der Stadt Hamburg,16032936-X,,,1749-01-15,36
13,Georg Philipp Telemann,11862119X,Ratssekretär in Hamburg Dr. Anderson,123401690,,,1749-02-07,39
14,Georg Philipp Telemann,11862119X,Breitkopf,16118087-5,,,1755-11-20,40
15,Georg Philipp Telemann,11862119X,Rat der Stadt Hamburg,16032936-X,,,1757-10-25,41
16,Georg Philipp Telemann,11862119X,Jacob Schuback,100400965,Hamburg,,1757-12-15,43
17,Georg Philipp Telemann,11862119X,Protoscholarchen (Hamburg),,,,1763-04-07,45
18,Georg Philipp Telemann,11862119X,Rat der Stadt Hamburg,16032936-X,,,1764-06-16,46
19,Georg Philipp Telemann,11862119X,Rat der Stadt Hamburg,16032936-X,,,1765-10-08/1767-06-25,47
,Bürgermeister und Rat der Stadt Hamburg,,Rat der Stadt Frankfurt (Main),1201422884,,,1721-07-12,48
,Ratsbuchdrucker Conrad Neumann,1037504577,Rat der Stadt Hamburg,16032936-X,,,1772-01-28,49
,Ratsdrucker Conrad König,1037496469,Rat der Stadt Hamburg,16032936-X,,,1725-01-26,51
,Ratsdrucker Conrad König,1037496469,Rat der Stadt Hamburg,16032936-X,,,1739-01-23,52
,Ratsdrucker Jeremias Conrad Piscator,1037497090,Rat der Stadt Hamburg,16032936-X,,,1757-11-07,53
,Pastor Melchior Goeze,118540386,Bürgermeister von Hamburg,1243266465,,,1764-06-14,60
20,Georg Philipp Telemann,11862119X,Markgraf Georg Wilhelm von Brandenburg-Bayreuth,119113007,,,1723-08-04,78
21,Georg Philipp Telemann,11862119X,Herzog Johann Wilhelm in Eisenach,102104395,Eisenach,,1725-05-12,79
22,Hof zu Eisenach,1270190652,Georg Philipp Telemann,11862119X,Eisenach,,1725-05-28,80
23,Georg Philipp Telemann,11862119X,Hof zu Eisenach,1270190652,Eisenach,,1725-06-09,81
24,Georg Philipp Telemann,11862119X,Hof zu Eisenach,1270190652,Eisenach,,1725-06-20,82
25,Hof zu Eisenach,1270190652,Georg Philipp Telemann,11862119X,Eisenach,,1725-06-23,84
26,Georg Philipp Telemann,11862119X,Hof zu Eisenach,1270190652,Eisenach,,1725-07-07,85
27,Georg Philipp Telemann,11862119X,Hof zu Eisenach,1270190652,Eisenach,,1725-07-28,87
28,Hof zu Eisenach,1270190652,Georg Philipp Telemann,11862119X,Eisenach,,1725-08-07,88
29,Georg Philipp Telemann,11862119X,Hof zu Eisenach,1270190652,Eisenach,,1725-08-15,89
30,Georg Philipp Telemann,11862119X,Hof zu Eisenach,1270190652,Eisenach,,1725-08-08,90
31,Hof zu Eisenach,1270190652,Georg Philipp Telemann,11862119X,Eisenach,,1725-09-10,91
32,Georg Philipp Telemann,11862119X,Hof zu Eisenach,1270190652,Eisenach,,1725-09-19,92
33,Georg Philipp Telemann,11862119X,Hof zu Eisenach,1270190652,Eisenach,,1725-10-17,93
34,Hof zu Eisenach,1270190652,Georg Philipp Telemann,11862119X,Eisenach,,1725-10-31,94
35,Georg Philipp Telemann,11862119X,Hof zu Eisenach,1270190652,Eisenach,,1725-11-07,94
36,Georg Philipp Telemann,11862119X,Hof zu Eisenach,1270190652,Eisenach,,1726-01-02,95
37,Georg Philipp Telemann,11862119X,Hof zu Eisenach,1270190652,Eisenach,,1729-11-02,97
38,Georg Philipp Telemann,11862119X,Hof zu Eisenach,1270190652,Eisenach,,1729-12-31,97
39,Georg Philipp Telemann,11862119X,Hof zu Eisenach,1270190652,Eisenach,,1730-04-26,99
40,Hof zu Eisenach,1270190652,Georg Philipp Telemann,11862119X,Eisenach,,1730-05-15,100
41,Georg Philipp Telemann,11862119X,Hof zu Eisenach,1270190652,Eisenach,,1730-05-18,101
42,Andreas Telemann,107037718X,Hof zu Eisenach,1270190652,Eisenach,,1730-05-27,102
43,Georg Philipp Telemann,11862119X,Hof zu Eisenach,1270190652,Eisenach,,1730-10-14,103
44,Georg Philipp Telemann,11862119X,Rat der Stadt Hamburg,16032936-X,Hamburg,,?,118
